venue_name,event_type,expected_attendance,temperature,humidity,rainfall,transport_delay_score,road_congestion_score,crowd_density_score,hospital_distance_km,police_station_distance_km,accessibility_score,social_media_risk_score,final_crisis_risk_score,risk_level,recommended_action
Suncorp Stadium,Opening Ceremony,8407,29.39,35.11,7.82,89,10,70,3.03,5.7,91,33,77.73,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,56742,22.66,62.06,9.31,40,62,31,9.96,1.0,55,24,74.59,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Paralympic Event,55726,36.55,82.72,21.23,90,69,37,12.22,7.79,64,78,117.5,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Opening Ceremony,25316,27.99,77.06,7.97,4,17,37,1.74,8.73,90,94,65.46,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Athletics,35286,20.67,73.04,23.85,96,15,53,8.98,5.14,41,93,93.78,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,18403,35.36,80.55,18.78,90,93,57,9.51,2.59,46,41,116.53,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Cycling,81325,25.73,80.16,29.08,95,25,47,2.13,7.49,68,53,81.74,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,52997,23.27,50.35,27.92,96,57,74,11.02,8.45,70,45,98.01,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Swimming,53291,34.44,70.55,19.42,98,34,30,4.2,7.79,82,83,94.66,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Paralympic Event,17161,34.53,73.58,13.78,68,8,1,7.22,7.95,70,9,72.7,Medium,Increase monitoring and prepare support teams.
The Gabba,Basketball,52779,28.51,38.63,29.18,48,2,73,10.1,8.26,60,89,90.66,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Paralympic Event,72819,19.14,53.87,20.01,15,0,15,9.17,8.76,70,12,46.35,Low,Continue normal monitoring.
RNA Showgrounds,Closing Ceremony,65726,27.88,82.81,22.1,89,57,61,6.61,8.47,50,71,103.04,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Opening Ceremony,17916,31.43,53.36,7.63,62,84,63,10.95,5.38,85,30,98.9,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Opening Ceremony,54756,28.93,40.02,22.7,28,79,35,3.23,2.25,61,70,76.16,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Opening Ceremony,74351,20.5,63.9,3.28,30,13,96,8.35,3.2,66,87,85.11,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,22948,32.7,69.41,17.42,86,92,4,13.45,7.05,80,26,97.73,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Tennis,81312,33.18,69.09,2.32,41,51,24,2.03,8.22,100,57,73.62,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Cycling,83929,34.69,38.09,22.43,23,83,64,0.78,4.6,92,93,86.31,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Paralympic Event,78474,32.24,44.67,7.06,44,25,76,3.57,1.87,74,23,78.34,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,54103,22.16,76.45,7.6,78,15,14,10.41,6.14,54,89,82.97,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Basketball,22706,36.56,44.1,0.07,97,40,49,8.69,2.9,42,75,108.22,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Opening Ceremony,16801,21.93,87.1,6.17,70,31,3,8.41,7.0,71,27,68.35,Medium,Increase monitoring and prepare support teams.
Victoria Park,Opening Ceremony,24643,21.77,51.71,2.79,54,88,79,6.63,8.06,90,21,81.73,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Swimming,6132,21.94,40.37,5.01,35,51,52,2.89,1.68,57,21,61.82,Medium,Increase monitoring and prepare support teams.
The Gabba,Cycling,51691,31.65,69.58,7.98,53,89,84,6.75,5.35,90,72,105.29,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Tennis,60856,21.27,73.05,20.23,58,96,98,3.78,1.75,90,83,96.1,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Swimming,49328,33.61,85.06,11.49,11,28,6,3.66,1.24,44,80,74.08,Medium,Increase monitoring and prepare support teams.
The Gabba,Athletics,73681,36.81,87.41,7.18,48,32,99,1.48,3.05,96,28,93.25,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,73045,24.99,52.36,23.74,78,92,3,9.59,1.89,83,79,85.93,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,31498,26.1,67.78,3.22,44,81,57,4.41,8.29,64,56,85.3,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,20043,26.27,72.34,7.1,7,43,97,12.03,1.79,70,44,92.12,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Athletics,14247,32.69,63.7,6.4,28,2,89,5.99,1.34,65,1,79.57,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,66869,28.29,73.99,27.18,34,54,86,4.58,1.17,80,43,86.77,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Paralympic Event,33718,36.58,62.32,25.29,57,43,73,11.11,2.15,64,33,104.56,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Tennis,81870,20.56,67.02,9.0,2,25,56,12.33,4.6,82,59,72.02,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,48723,26.22,68.24,18.9,89,17,84,9.59,0.77,83,21,92.29,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,7013,22.23,75.48,9.6,7,97,56,14.41,2.33,79,24,85.26,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Cycling,11862,18.38,72.94,28.36,95,25,26,7.1,5.42,81,28,69.0,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Basketball,45736,26.85,75.27,6.99,22,6,25,3.08,3.84,81,91,65.23,Medium,Increase monitoring and prepare support teams.
Victoria Park,Cycling,12856,26.31,49.21,26.01,32,22,96,7.57,2.44,69,25,80.86,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,44462,28.15,59.28,3.92,1,5,45,13.61,0.51,57,26,73.49,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Closing Ceremony,18275,21.85,60.52,7.37,69,77,21,7.22,5.12,51,98,86.33,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,76218,20.59,55.67,2.97,12,84,9,11.78,2.59,54,51,70.23,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,50836,36.67,86.29,3.76,2,58,69,5.7,6.5,58,66,95.95,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Paralympic Event,70864,21.5,70.64,7.36,93,67,68,14.61,0.55,68,81,109.31,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Cycling,16560,24.62,48.66,29.64,98,21,99,14.94,8.11,68,34,105.05,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Tennis,50406,22.69,36.08,26.38,63,31,63,4.84,3.05,41,37,74.35,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Swimming,45167,20.93,43.78,23.7,24,47,64,2.26,6.51,57,8,58.42,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Paralympic Event,34504,26.01,87.09,12.19,43,99,27,13.51,9.12,79,2,87.14,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Paralympic Event,10057,22.02,79.28,25.5,8,84,10,3.15,5.89,41,87,68.69,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Opening Ceremony,60718,30.9,35.93,28.81,30,10,86,4.24,7.16,66,98,85.93,High,"Deploy additional transport, security, and medical support."
The Gabba,Paralympic Event,30988,37.07,84.68,21.41,60,37,19,10.42,5.28,71,25,91.77,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,15976,28.73,82.3,6.39,47,24,56,14.45,5.42,44,97,105.65,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Paralympic Event,9792,34.07,79.98,29.37,30,68,87,11.16,8.73,63,49,108.62,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Basketball,60311,19.79,57.99,25.6,38,88,45,13.8,7.76,87,46,83.4,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Opening Ceremony,15929,30.46,54.58,23.67,35,62,68,3.92,7.28,63,81,89.77,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Athletics,84622,26.36,37.45,8.67,98,89,81,7.07,8.61,54,48,102.85,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Opening Ceremony,29976,27.49,54.88,10.76,92,19,29,12.8,5.18,52,81,95.87,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Tennis,64117,19.11,65.48,17.64,31,60,53,8.81,2.76,74,100,82.02,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,34592,20.14,48.14,28.48,90,15,89,2.97,4.75,88,79,81.39,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Closing Ceremony,51073,23.81,39.51,8.95,20,49,42,5.97,2.95,80,5,58.05,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Swimming,33251,31.28,48.07,14.68,96,54,0,14.21,9.21,86,78,96.46,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Athletics,14336,21.96,83.09,10.58,30,87,58,13.64,1.7,56,13,89.18,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Basketball,8513,21.92,86.91,29.29,24,58,31,1.0,1.71,76,25,58.24,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Basketball,14107,32.57,64.04,6.06,91,98,62,12.64,8.72,78,99,123.1,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Paralympic Event,60698,21.03,50.66,11.28,78,28,25,5.05,6.4,91,3,57.81,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Athletics,57389,30.75,79.1,13.99,65,7,28,2.21,7.69,89,13,66.18,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Athletics,79632,36.92,66.89,16.21,52,38,77,7.83,6.96,64,20,98.03,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Swimming,63382,20.72,80.98,4.64,95,49,22,5.9,2.92,53,71,83.06,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Opening Ceremony,82924,30.99,51.64,13.8,80,42,94,7.92,5.51,42,11,100.06,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Basketball,5769,32.46,62.93,14.97,93,27,13,0.82,8.13,85,69,77.37,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,32909,23.14,40.09,3.03,33,39,46,0.53,6.57,63,64,61.83,Medium,Increase monitoring and prepare support teams.
The Gabba,Basketball,26323,22.19,38.99,21.1,22,84,33,8.06,3.0,91,92,74.52,Medium,Increase monitoring and prepare support teams.
The Gabba,Basketball,81154,24.74,57.12,1.54,52,71,3,5.59,7.84,88,97,74.19,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Closing Ceremony,24558,29.31,35.84,23.42,6,39,91,12.24,4.1,53,52,91.21,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,16907,19.41,54.52,15.1,27,68,66,7.77,4.15,97,19,68.37,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Closing Ceremony,79599,35.34,84.17,27.59,33,18,57,7.75,4.44,80,47,89.26,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,84731,19.83,65.63,26.76,78,79,26,0.76,4.3,90,18,62.43,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Basketball,37980,31.46,89.49,26.48,82,29,21,2.77,9.76,50,47,83.38,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,33469,35.27,53.75,26.99,93,1,72,10.13,4.8,49,97,111.98,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Paralympic Event,19779,30.14,81.72,16.24,18,95,26,1.41,4.15,79,31,71.64,Medium,Increase monitoring and prepare support teams.
Victoria Park,Opening Ceremony,81669,28.71,39.68,9.09,86,34,70,10.91,9.93,89,24,91.27,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Basketball,29502,32.04,55.44,0.53,47,7,38,7.54,7.89,77,7,71.37,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Cycling,6242,18.27,54.96,18.03,16,32,46,7.52,7.42,68,8,55.35,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Basketball,28664,32.47,66.75,19.43,9,5,12,8.41,3.91,85,7,59.69,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,5368,24.31,72.54,26.14,48,48,88,10.9,5.61,78,52,95.2,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Tennis,22207,21.36,45.45,13.82,29,11,34,9.86,6.68,82,86,67.89,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Basketball,41486,23.47,88.9,17.89,92,63,11,0.65,1.91,78,61,74.42,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Athletics,30032,27.16,86.98,20.21,35,88,23,13.64,5.65,70,92,98.85,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Basketball,55830,21.29,62.7,24.91,11,100,72,3.29,6.26,53,90,83.29,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Cycling,31708,29.63,87.13,1.61,53,4,12,8.19,0.76,74,46,74.61,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Paralympic Event,8650,37.84,49.64,25.0,85,7,80,11.05,6.52,56,41,108.03,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Closing Ceremony,32885,27.96,53.12,13.22,63,92,19,14.42,6.77,95,7,85.85,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,20540,23.98,76.15,6.25,59,75,16,2.32,3.45,87,11,63.68,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Opening Ceremony,13593,33.95,49.82,26.62,34,97,53,1.99,7.44,55,7,81.35,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Closing Ceremony,34565,29.82,74.68,28.24,55,75,91,9.46,6.83,62,8,101.18,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Swimming,12213,32.27,48.88,19.7,77,38,36,8.32,9.7,79,32,85.54,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Swimming,39731,34.82,89.83,12.91,61,22,45,9.21,1.09,100,2,86.12,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,6067,31.82,83.58,28.45,98,83,17,12.85,3.89,98,48,103.7,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Paralympic Event,76327,34.48,70.61,29.07,61,46,33,11.43,6.41,79,53,96.51,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Cycling,48601,25.2,57.32,29.11,15,71,17,7.64,8.45,88,11,61.05,Medium,Increase monitoring and prepare support teams.
Victoria Park,Athletics,81928,25.77,59.4,26.74,54,24,6,3.72,7.91,69,70,64.91,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Paralympic Event,58015,18.2,39.66,24.23,99,91,56,4.55,3.81,76,38,80.16,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,10409,33.98,62.97,6.99,12,30,1,3.54,5.6,73,67,65.43,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Cycling,30596,21.74,38.67,29.96,43,18,70,5.8,8.5,41,40,71.29,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Swimming,69471,24.52,47.12,27.76,82,69,28,1.39,7.29,43,57,76.58,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,58412,24.73,63.55,29.38,96,64,5,2.59,4.7,72,64,75.54,High,"Deploy additional transport, security, and medical support."
Victoria Park,Cycling,78664,18.17,76.86,21.39,90,16,54,0.52,3.19,65,52,69.31,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Tennis,63876,21.68,66.73,4.65,35,5,20,8.62,4.17,64,25,59.06,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Paralympic Event,27995,27.05,44.32,19.1,45,15,15,1.37,4.07,47,87,64.51,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Opening Ceremony,15514,36.84,75.68,2.6,81,21,45,5.43,7.33,44,89,103.25,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Swimming,83200,27.08,51.59,11.52,62,93,98,4.45,1.62,67,43,97.51,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Swimming,70936,26.93,65.29,28.33,63,74,56,8.09,1.61,82,69,94.09,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,53075,24.17,82.82,22.92,36,5,64,1.98,7.42,63,24,65.65,Medium,Increase monitoring and prepare support teams.
Victoria Park,Paralympic Event,49999,32.51,41.23,12.19,98,64,59,14.6,3.22,77,10,104.85,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Athletics,40825,31.99,57.66,4.15,32,12,17,14.24,1.16,48,30,80.55,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Cycling,66416,26.14,72.27,6.8,42,30,69,13.47,3.04,54,91,100.81,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Tennis,62134,35.84,58.7,5.94,81,87,1,3.97,4.47,65,70,91.27,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,68620,23.92,66.48,13.26,1,84,19,12.04,3.4,43,11,71.64,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,16345,33.85,50.35,19.39,35,68,74,1.42,1.75,52,79,92.65,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,34377,28.55,71.05,7.0,50,34,42,8.0,5.53,93,38,78.92,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,60283,33.98,79.17,12.46,41,93,31,8.65,7.54,90,0,86.53,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,37873,23.89,66.42,22.36,51,90,8,6.39,8.59,40,72,80.72,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Cycling,18266,31.23,84.68,2.96,21,17,75,2.39,0.62,45,82,87.06,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Tennis,76918,22.61,51.02,23.17,36,82,36,1.01,5.96,61,61,67.85,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Cycling,13572,37.23,79.4,13.79,81,73,23,2.75,6.81,52,88,101.61,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Athletics,65156,22.76,86.61,5.13,82,72,27,9.77,8.61,49,64,93.61,High,"Deploy additional transport, security, and medical support."
The Gabba,Cycling,42563,32.95,89.99,21.75,21,63,40,9.02,2.16,83,24,85.52,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Opening Ceremony,33549,29.45,89.96,8.61,48,96,50,9.23,1.11,73,40,97.88,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Cycling,55617,37.5,47.78,26.44,25,35,47,7.91,8.16,55,85,93.28,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,71354,23.75,75.52,13.6,81,9,38,5.65,5.08,40,14,73.45,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Basketball,27419,35.49,86.63,24.15,47,32,97,6.45,3.66,59,64,107.41,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Opening Ceremony,18444,27.35,50.71,28.85,16,97,12,8.91,6.46,71,98,82.14,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,41159,33.99,75.67,12.79,20,76,58,3.11,1.45,70,16,82.1,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Basketball,50615,27.54,42.2,7.07,53,24,2,10.79,5.08,49,33,70.31,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Athletics,52965,32.95,47.88,1.8,31,15,75,14.45,3.25,89,12,88.5,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Cycling,61235,36.37,84.73,4.7,37,10,42,14.54,9.19,96,49,95.31,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Athletics,80677,36.19,45.65,12.49,67,60,60,6.32,8.62,86,16,90.96,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Cycling,39629,24.54,69.54,8.26,74,70,25,3.78,8.79,70,25,73.85,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,45931,24.07,56.61,5.39,15,72,27,4.33,4.56,70,84,70.02,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Tennis,9922,26.69,45.61,5.73,39,27,36,11.62,2.46,94,3,68.2,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Tennis,12086,36.63,46.38,10.75,79,34,65,10.06,5.35,68,17,98.9,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Paralympic Event,40233,27.67,41.14,3.46,57,81,29,7.48,6.97,47,91,90.34,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Paralympic Event,5002,23.25,37.88,6.93,16,13,8,7.5,4.45,76,95,58.63,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Basketball,79804,23.84,44.5,11.38,26,43,39,1.93,8.22,87,90,64.38,Medium,Increase monitoring and prepare support teams.
Victoria Park,Basketball,9947,35.56,65.22,19.69,3,75,72,10.62,6.56,77,76,101.93,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,8346,19.07,59.51,1.48,27,65,9,11.48,3.4,48,96,76.03,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,59639,18.94,66.15,22.9,29,61,12,10.81,9.75,55,65,71.07,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Closing Ceremony,46002,26.94,35.39,24.58,15,77,79,6.5,3.28,82,48,80.69,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,6312,37.38,86.32,26.12,91,22,77,13.59,8.58,54,70,124.04,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,38513,30.03,38.34,12.4,43,74,28,11.36,8.37,93,87,89.28,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Swimming,32713,28.17,74.66,10.58,72,97,56,4.9,4.58,64,7,89.95,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Tennis,10295,35.09,79.12,10.46,2,53,13,13.5,4.34,57,66,90.03,High,"Deploy additional transport, security, and medical support."
The Gabba,Opening Ceremony,43374,30.43,37.13,5.6,4,70,82,5.58,4.08,74,100,89.86,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,49563,22.97,35.85,5.0,25,1,22,7.81,8.72,48,12,52.31,Low,Continue normal monitoring.
South Bank Parklands,Swimming,78535,32.95,65.29,24.5,62,50,8,10.66,4.32,54,42,88.12,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Tennis,15435,25.67,43.37,20.0,9,99,19,9.72,4.82,50,11,69.94,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Athletics,56805,26.97,64.57,19.91,11,20,24,7.83,0.67,89,61,65.24,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Opening Ceremony,78058,32.59,36.12,6.16,24,58,71,12.53,3.38,58,22,92.07,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Tennis,62632,27.1,65.58,12.12,88,15,78,8.04,6.93,53,92,102.27,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Paralympic Event,26686,24.76,56.35,7.27,73,98,86,5.79,4.61,43,13,95.3,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Cycling,27620,21.65,66.57,19.12,89,80,86,4.24,4.36,52,65,98.18,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Swimming,79391,29.8,63.83,8.49,9,40,26,1.82,9.27,67,64,65.26,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Paralympic Event,18739,24.19,52.61,25.15,46,37,69,0.63,2.41,83,73,72.51,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,26534,27.72,71.53,15.84,38,27,29,3.57,1.5,82,78,71.75,Medium,Increase monitoring and prepare support teams.
Victoria Park,Basketball,82924,36.16,79.24,1.97,91,22,62,11.71,5.17,61,23,107.19,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Athletics,27745,27.64,38.88,8.34,61,81,70,13.72,5.76,69,22,97.83,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Tennis,63601,36.36,45.86,29.52,8,12,57,14.21,1.76,70,51,90.13,High,"Deploy additional transport, security, and medical support."
The Gabba,Closing Ceremony,22157,28.11,39.24,9.19,82,96,27,14.45,8.96,54,77,104.99,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Swimming,9477,27.24,52.29,17.43,97,37,25,13.04,5.25,90,72,93.09,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Swimming,73916,35.19,60.2,7.87,87,12,42,13.36,4.09,66,82,106.7,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Athletics,25140,37.83,77.37,6.32,28,16,67,6.44,7.91,68,67,94.66,High,"Deploy additional transport, security, and medical support."
The Gabba,Opening Ceremony,59238,27.43,44.67,4.35,69,25,71,8.62,5.12,93,0,78.55,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,57726,23.26,47.35,13.97,37,82,55,9.72,8.81,77,77,86.89,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Opening Ceremony,63706,21.67,48.9,12.2,30,51,87,13.59,8.79,84,39,86.57,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,58450,20.15,40.56,0.34,46,78,12,2.41,3.37,61,91,65.33,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Cycling,52176,28.93,66.32,10.3,42,79,32,6.91,0.94,48,58,87.18,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,72643,20.86,73.27,4.94,88,14,1,12.38,9.1,46,99,84.79,High,"Deploy additional transport, security, and medical support."
The Gabba,Closing Ceremony,18285,19.12,61.41,16.06,64,3,28,6.88,8.42,85,85,66.98,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Athletics,78914,29.05,37.78,1.32,20,12,8,4.22,2.31,93,69,55.71,Medium,Increase monitoring and prepare support teams.
Victoria Park,Tennis,62911,32.9,39.38,1.46,77,46,68,2.33,1.67,46,41,89.73,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Athletics,42361,31.2,58.74,22.91,64,32,37,1.23,1.49,67,32,73.05,Medium,Increase monitoring and prepare support teams.
Victoria Park,Paralympic Event,39600,28.08,64.97,8.51,46,55,64,5.44,9.64,45,88,93.75,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Opening Ceremony,70792,21.21,88.8,4.76,59,28,49,9.77,1.73,99,35,77.03,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,80312,18.81,85.26,24.99,56,49,67,6.33,1.94,81,14,74.16,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Closing Ceremony,27666,25.25,38.65,29.68,79,93,97,6.92,9.51,61,75,105.63,Critical,Activate emergency response plan and redirect crowd movement.
